Day,Month,Year,Hour,PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
3,14,2004,5,1062.0,691.0,1272.0,70.0,1377.0,929.0,11.5,63.1,0.8533
3,14,2004,6,1076.0,618.0,1395.0,63.0,1333.0,872.0,11.6,62.2,0.8473
3,14,2004,7,1028.0,615.0,1384.0,67.0,1340.0,853.0,10.4,67.6,0.853
3,14,2004,8,1155.0,722.0,1225.0,84.0,1414.0,959.0,11.6,62.7,0.853
3,14,2004,9,1235.0,828.0,1055.0,83.0,1527.0,1093.0,12.4,60.0,0.8627
3,14,2004,10,1332.0,923.0,952.0,98.0,1614.0,1225.0,14.5,53.1,0.8728
3,14,2004,11,1445.0,1009.0,878.0,114.0,1696.0,1355.0,16.9,46.1,0.8789
3,14,2004,12,1416.0,1002.0,907.0,119.0,1677.0,1262.0,19.3,38.3,0.8474
3,14,2004,13,1281.0,880.0,1084.0,104.0,1525.0,980.0,21.2,31.4,0.7812
3,14,2004,14,1207.0,879.0,1104.0,102.0,1490.0,872.0,21.4,30.2,0.7616
3,14,2004,15,1258.0,906.0,1081.0,107.0,1511.0,900.0,21.9,29.0,0.7525
3,14,2004,16,1458.0,1045.0,974.0,129.0,1646.0,1099.0,22.2,28.4,0.7516
3,14,2004,17,1438.0,1051.0,943.0,128.0,1668.0,1206.0,21.3,30.8,0.7696
3,14,2004,18,1478.0,1055.0,929.0,121.0,1671.0,1262.0,19.7,36.7,0.8307
3,14,2004,19,1808.0,1312.0,753.0,157.0,1993.0,1698.0,18.4,41.7,0.8732
3,14,2004,20,1898.0,1381.0,681.0,173.0,2103.0,1905.0,17.6,46.1,0.921
3,14,2004,21,1560.0,1140.0,784.0,146.0,1818.0,1648.0,16.7,49.6,0.932
3,14,2004,22,1324.0,940.0,924.0,121.0,1587.0,1423.0,16.3,51.0,0.9341
3,14,2004,23,1349.0,933.0,933.0,119.0,1617.0,1349.0,14.7,55.9,0.9314
3,15,2004,0,1239.0,872.0,985.0,99.0,1547.0,1250.0,14.8,54.7,0.9164
3,15,2004,1,1239.0,853.0,1010.0,93.0,1543.0,1174.0,14.0,57.0,0.9094
3,15,2004,2,1224.0,855.0,998.0,88.0,1566.0,1149.0,13.4,61.3,0.9361
3,15,2004,4,1078.0,711.0,1150.0,71.0,1468.0,1013.0,12.3,65.4,0.9351
3,15,2004,5,1075.0,703.0,1156.0,74.0,1464.0,1010.0,11.9,67.4,0.9375
3,15,2004,6,1157.0,830.0,1030.0,80.0,1584.0,1083.0,11.4,70.5,0.9475
3,15,2004,7,1314.0,966.0,897.0,89.0,1710.0,1235.0,11.3,70.2,0.9401
3,15,2004,8,1797.0,1451.0,652.0,114.0,2323.0,1680.0,12.4,63.9,0.917
3,15,2004,9,1961.0,1701.0,537.0,149.0,2665.0,2184.0,14.8,54.3,0.9076
3,15,2004,10,1771.0,1470.0,622.0,157.0,2262.0,1973.0,17.4,45.6,0.8993
3,15,2004,11,1564.0,1300.0,710.0,155.0,2029.0,1798.0,19.8,38.5,0.8801
3,15,2004,12,1430.0,1120.0,831.0,134.0,1783.0,1522.0,22.0,34.1,0.8904
3,15,2004,13,1417.0,1146.0,830.0,119.0,1831.0,1404.0,23.3,32.2,0.9096
3,15,2004,14,1400.0,1162.0,838.0,111.0,1829.0,1263.0,23.9,30.0,0.8757
3,15,2004,15,1317.0,1053.0,926.0,104.0,1707.0,1137.0,24.4,28.9,0.8736
3,15,2004,16,1318.0,1033.0,950.0,99.0,1675.0,1068.0,24.4,29.4,0.8848
3,15,2004,17,1445.0,1141.0,857.0,110.0,1824.0,1252.0,23.8,31.3,0.9137
3,15,2004,18,1917.0,1601.0,631.0,162.0,2447.0,1843.0,22.5,35.4,0.9547
3,15,2004,19,2040.0,1754.0,542.0,187.0,2679.0,2122.0,20.4,42.5,1.0086
3,15,2004,20,1895.0,1573.0,565.0,165.0,2443.0,1992.0,18.3,52.6,1.0945
3,15,2004,21,1595.0,1294.0,678.0,145.0,2058.0,1707.0,16.7,57.4,1.0786
3,15,2004,22,1439.0,1159.0,764.0,125.0,1856.0,1494.0,15.7,60.2,1.0654
3,15,2004,23,1142.0,852.0,1008.0,101.0,1547.0,1164.0,15.3,61.4,1.058
3,16,2004,0,1304.0,1019.0,852.0,103.0,1731.0,1272.0,14.1,65.7,1.0494
3,16,2004,1,1074.0,784.0,1098.0,88.0,1483.0,1040.0,14.8,60.6,1.0148
3,16,2004,2,968.0,640.0,1320.0,61.0,1386.0,867.0,14.8,59.2,0.9879
3,16,2004,4,941.0,626.0,1316.0,59.0,1373.0,840.0,12.3,66.2,0.945
3,16,2004,5,937.0,585.0,1412.0,52.0,1348.0,793.0,12.8,63.2,0.9283
3,16,2004,6,1017.0,681.0,1246.0,64.0,1418.0,870.0,11.2,68.5,0.9081
3,16,2004,7,1171.0,770.0,1162.0,70.0,1467.0,930.0,11.0,66.5,0.8705
3,16,2004,8,1541.0,1185.0,770.0,97.0,1889.0,1407.0,11.7,63.7,0.8719
3,16,2004,9,1539.0,1287.0,698.0,95.0,2055.0,1507.0,13.6,56.3,0.8743
3,16,2004,10,1735.0,1431.0,628.0,150.0,2211.0,1843.0,17.8,42.9,0.8672
3,16,2004,11,1571.0,1297.0,730.0,162.0,1973.0,1729.0,21.4,33.3,0.8417
3,16,2004,12,1452.0,1250.0,776.0,154.0,1868.0,1583.0,24.4,27.4,0.8231
3,16,2004,13,1579.0,1359.0,724.0,161.0,1998.0,1671.0,25.3,26.1,0.8264
3,16,2004,14,1466.0,1309.0,773.0,161.0,1897.0,1491.0,25.8,23.2,0.7589
3,16,2004,15,1280.0,1136.0,893.0,128.0,1675.0,1240.0,27.0,20.2,0.7094
3,16,2004,16,1407.0,1197.0,905.0,129.0,1759.0,1313.0,28.2,18.6,0.7014
3,16,2004,17,1389.0,1173.0,898.0,133.0,1739.0,1363.0,28.0,19.1,0.7098
3,16,2004,18,1447.0,1235.0,859.0,139.0,1778.0,1296.0,23.9,25.7,0.7519
3,16,2004,19,1551.0,1271.0,800.0,137.0,1875.0,1432.0,21.3,34.8,0.873
3,16,2004,20,1474.0,1173.0,854.0,143.0,1776.0,1432.0,20.4,36.7,0.8704
3,16,2004,21,1800.0,1426.0,700.0,177.0,2106.0,2034.0,19.0,41.3,0.9007
3,16,2004,22,1379.0,1101.0,818.0,138.0,1710.0,1602.0,17.9,45.9,0.9342
3,16,2004,23,1201.0,943.0,935.0,117.0,1560.0,1362.0,16.7,48.9,0.9226
3,17,2004,0,1205.0,925.0,922.0,107.0,1547.0,1314.0,15.5,52.9,0.9271
3,17,2004,1,1072.0,784.0,1066.0,90.0,1442.0,1114.0,15.5,51.9,0.9059
3,17,2004,2,998.0,714.0,1169.0,79.0,1383.0,992.0,14.1,55.6,0.891
3,17,2004,4,883.0,577.0,1396.0,60.0,1303.0,808.0,12.7,57.9,0.8447
3,17,2004,5,869.0,554.0,1460.0,40.0,1268.0,667.0,11.8,58.0,0.8026
3,17,2004,6,891.0,576.0,1417.0,53.0,1289.0,733.0,11.9,57.4,0.7978
3,17,2004,7,1173.0,878.0,1038.0,84.0,1556.0,1052.0,9.9,65.2,0.7956
3,17,2004,8,1587.0,1334.0,702.0,108.0,1999.0,1534.0,11.1,60.2,0.7958
3,17,2004,9,1852.0,1696.0,553.0,127.0,2535.0,1931.0,14.1,50.0,0.802
3,17,2004,10,1522.0,1331.0,703.0,134.0,2026.0,1734.0,17.7,40.1,0.8048
3,17,2004,11,1438.0,1161.0,819.0,135.0,1782.0,1595.0,21.1,33.4,0.8265
3,17,2004,12,1393.0,1067.0,905.0,142.0,1654.0,1490.0,24.3,28.3,0.8471
3,17,2004,13,1452.0,1152.0,861.0,153.0,1747.0,1508.0,25.6,25.6,0.8254
3,17,2004,14,1389.0,1108.0,887.0,123.0,1712.0,1334.0,25.9,25.9,0.8503
3,17,2004,15,1207.0,994.0,1013.0,104.0,1520.0,1045.0,26.8,18.7,0.65
3,17,2004,16,1365.0,1154.0,940.0,129.0,1679.0,1221.0,29.3,15.8,0.6309
3,17,2004,17,1247.0,1060.0,1032.0,114.0,1525.0,1069.0,28.5,14.9,0.5708
3,17,2004,18,1557.0,1478.0,793.0,158.0,1981.0,1569.0,25.9,16.0,0.5237
3,17,2004,19,1973.0,1737.0,617.0,194.0,2414.0,2306.0,23.1,26.5,0.7403
3,17,2004,20,1975.0,1667.0,597.0,182.0,2416.0,2359.0,20.5,38.2,0.9133
3,17,2004,21,1795.0,1485.0,653.0,180.0,2174.0,2050.0,19.1,42.6,0.9294
3,17,2004,22,1444.0,1150.0,770.0,136.0,1727.0,1727.0,17.2,44.1,0.8558
3,17,2004,23,1488.0,1171.0,731.0,127.0,1778.0,1705.0,16.0,50.9,0.9206
3,18,2004,0,1371.0,1083.0,796.0,116.0,1669.0,1551.0,14.8,53.9,0.9024
3,18,2004,1,1161.0,904.0,947.0,107.0,1502.0,1240.0,14.3,55.4,0.8975
3,18,2004,2,1064.0,787.0,1057.0,88.0,1407.0,1115.0,14.8,52.1,0.8686
3,18,2004,4,954.0,645.0,1260.0,78.0,1334.0,925.0,11.6,61.9,0.8442
3,18,2004,5,931.0,623.0,1293.0,57.0,1307.0,828.0,12.0,58.9,0.8233
3,18,2004,6,938.0,650.0,1251.0,71.0,1333.0,893.0,10.9,62.1,0.8113
3,18,2004,7,1166.0,885.0,1005.0,85.0,1551.0,1075.0,10.6,63.3,0.8067
3,18,2004,8,1643.0,1384.0,667.0,124.0,2094.0,1610.0,11.5,60.0,0.8117
3,18,2004,9,1934.0,1682.0,541.0,151.0,2468.0,2051.0,14.3,50.6,0.8186
3,18,2004,10,1617.0,1333.0,686.0,150.0,2010.0,1819.0,17.8,40.5,0.821
3,18,2004,11,1473.0,1127.0,831.0,152.0,1752.0,1568.0,20.8,34.4,0.8365
3,18,2004,12,1379.0,1068.0,899.0,139.0,1663.0,1374.0,23.8,28.2,0.8219
3,18,2004,13,1385.0,1056.0,891.0,133.0,1648.0,1268.0,24.2,28.7,0.8515
3,18,2004,14,1379.0,1087.0,901.0,126.0,1660.0,1144.0,25.2,24.9,0.7829
3,18,2004,15,1322.0,1129.0,934.0,128.0,1639.0,1109.0,27.0,17.8,0.6275
3,18,2004,16,1496.0,1205.0,822.0,169.0,1767.0,1347.0,27.1,23.1,0.818
3,18,2004,17,1409.0,1131.0,873.0,149.0,1689.0,1206.0,25.8,23.9,0.7832
3,18,2004,18,1513.0,1338.0,764.0,156.0,1957.0,1397.0,23.0,26.8,0.7446
3,18,2004,19,1667.0,1464.0,683.0,168.0,2118.0,1588.0,20.7,31.1,0.7523
3,18,2004,20,1667.0,1453.0,684.0,176.0,2051.0,1569.0,18.6,36.2,0.7676
3,18,2004,21,1430.0,1121.0,814.0,135.0,1732.0,1322.0,16.0,48.4,0.8768
3,18,2004,22,1333.0,989.0,885.0,121.0,1621.0,1194.0,14.5,57.8,0.9456
3,18,2004,23,1262.0,911.0,948.0,99.0,1545.0,1062.0,13.1,64.2,0.9606
3,19,2004,0,1287.0,936.0,918.0,106.0,1606.0,1040.0,12.0,69.7,0.9735
3,19,2004,1,1134.0,840.0,1021.0,96.0,1501.0,917.0,11.9,71.1,0.9915
3,19,2004,2,999.0,688.0,1229.0,63.0,1380.0,594.0,12.5,69.3,1.0029
3,19,2004,4,934.0,569.0,1440.0,32.0,1280.0,397.0,12.3,67.7,0.9665
3,19,2004,5,913.0,525.0,1620.0,28.0,1260.0,370.0,12.5,66.8,0.962
3,19,2004,6,969.0,607.0,1373.0,61.0,1324.0,438.0,12.3,66.3,0.9487
3,19,2004,7,1182.0,845.0,1054.0,99.0,1539.0,704.0,12.4,64.9,0.9332
3,19,2004,8,1740.0,1372.0,671.0,157.0,2144.0,1476.0,13.0,61.6,0.9209
3,19,2004,9,1819.0,1582.0,575.0,166.0,2456.0,1716.0,13.6,58.8,0.912
3,19,2004,10,1427.0,1275.0,701.0,149.0,1980.0,1398.0,13.9,57.1,0.9032
3,19,2004,11,1390.0,1191.0,759.0,135.0,1879.0,1268.0,14.5,54.4,0.8917
3,19,2004,12,1283.0,1117.0,813.0,127.0,1751.0,1188.0,15.5,50.1,0.8744
3,19,2004,13,1304.0,1157.0,793.0,122.0,1801.0,1171.0,16.1,47.6,0.8655
3,19,2004,14,1364.0,1202.0,771.0,135.0,1875.0,1250.0,16.3,47.1,0.864
3,19,2004,15,1410.0,1268.0,724.0,139.0,1957.0,1344.0,16.4,47.5,0.8791
3,19,2004,16,1476.0,1280.0,708.0,147.0,1955.0,1378.0,16.1,50.2,0.9094
3,19,2004,17,1522.0,1320.0,690.0,158.0,2005.0,1435.0,16.0,50.7,0.9142
3,19,2004,18,1442.0,1301.0,704.0,146.0,1952.0,1372.0,15.8,50.3,0.8989
3,19,2004,19,1469.0,1344.0,677.0,144.0,1997.0,1471.0,15.5,50.6,0.884
3,19,2004,20,1467.0,1292.0,698.0,138.0,1942.0,1439.0,15.4,51.4,0.8956
3,19,2004,21,1421.0,1202.0,748.0,143.0,1854.0,1429.0,15.2,53.1,0.9117
3,19,2004,22,1175.0,945.0,904.0,116.0,1604.0,1081.0,14.7,57.6,0.9573
3,19,2004,23,1215.0,912.0,948.0,109.0,1547.0,993.0,14.2,58.3,0.938
3,20,2004,0,1127.0,802.0,1064.0,92.0,1447.0,837.0,13.8,57.9,0.9085
3,20,2004,1,1090.0,773.0,1105.0,83.0,1429.0,761.0,13.9,55.9,0.8842
3,20,2004,2,1017.0,718.0,1182.0,81.0,1382.0,650.0,13.9,55.6,0.8765
3,20,2004,4,945.0,646.0,1308.0,55.0,1332.0,505.0,13.8,54.6,0.8574
3,20,2004,5,956.0,661.0,1260.0,53.0,1351.0,518.0,13.6,55.1,0.856
3,20,2004,6,966.0,622.0,1317.0,67.0,1342.0,571.0,13.6,59.0,0.9129
3,20,2004,7,1064.0,728.0,1161.0,91.0,1461.0,842.0,13.5,58.4,0.896
3,20,2004,8,1300.0,935.0,902.0,113.0,1623.0,1145.0,13.8,58.0,0.9083
3,20,2004,9,1348.0,998.0,834.0,102.0,1689.0,1218.0,14.6,53.1,0.8765
3,20,2004,10,1425.0,1068.0,776.0,107.0,1764.0,1341.0,15.0,52.3,0.8881
3,20,2004,11,1474.0,1061.0,768.0,113.0,1768.0,1406.0,15.4,52.1,0.9046
3,20,2004,12,1490.0,1039.0,782.0,108.0,1757.0,1422.0,16.3,50.0,0.9158
3,20,2004,13,1495.0,1040.0,809.0,105.0,1735.0,1373.0,17.1,47.9,0.9281
3,20,2004,14,1376.0,953.0,900.0,93.0,1636.0,1153.0,19.0,42.9,0.937
3,20,2004,15,1305.0,884.0,980.0,87.0,1573.0,927.0,19.5,42.3,0.9476
3,20,2004,16,1283.0,844.0,1036.0,76.0,1539.0,766.0,19.5,42.3,0.9493
3,20,2004,17,1392.0,967.0,930.0,94.0,1649.0,941.0,19.1,43.8,0.9556
3,20,2004,18,1452.0,1063.0,856.0,110.0,1774.0,1146.0,18.5,46.3,0.9744
3,20,2004,19,1633.0,1199.0,734.0,136.0,1919.0,1417.0,17.4,51.6,1.0159
3,20,2004,20,1625.0,1191.0,733.0,139.0,1885.0,1442.0,17.1,51.3,0.9914
3,20,2004,21,1535.0,1108.0,785.0,125.0,1820.0,1323.0,16.4,53.8,0.9964
3,20,2004,22,1323.0,973.0,864.0,111.0,1712.0,1125.0,16.2,55.4,1.0132
3,20,2004,23,1309.0,937.0,905.0,97.0,1672.0,1036.0,15.9,57.7,1.0356
3,21,2004,0,1456.0,999.0,835.0,107.0,1714.0,1202.0,15.7,58.6,1.0396
3,21,2004,1,1300.0,872.0,941.0,90.0,1577.0,1054.0,15.1,60.9,1.0398
3,21,2004,2,1203.0,823.0,1004.0,84.0,1526.0,903.0,15.6,56.6,0.9951
3,21,2004,4,1117.0,802.0,1029.0,87.0,1539.0,818.0,15.4,57.8,1.0021
3,21,2004,5,1062.0,711.0,1136.0,66.0,1461.0,700.0,14.9,60.6,1.0196
3,21,2004,6,947.0,594.0,1300.0,36.0,1390.0,580.0,14.5,63.0,1.0316
3,21,2004,7,1065.0,687.0,1143.0,62.0,1492.0,815.0,14.2,66.2,1.063
3,21,2004,8,1155.0,734.0,1062.0,91.0,1528.0,1035.0,14.5,65.3,1.0704
3,21,2004,9,1220.0,782.0,996.0,89.0,1560.0,1067.0,15.3,62.1,1.073
3,21,2004,10,1301.0,862.0,914.0,93.0,1633.0,1114.0,16.3,59.0,1.0868
3,21,2004,11,1279.0,870.0,911.0,81.0,1646.0,1000.0,18.9,49.6,1.07
3,21,2004,12,1267.0,883.0,953.0,82.0,1617.0,906.0,19.4,46.1,1.0249
3,21,2004,13,1239.0,848.0,981.0,80.0,1568.0,822.0,20.8,41.6,1.0091
3,21,2004,14,1128.0,742.0,1144.0,48.0,1507.0,610.0,21.4,40.3,1.0126
3,21,2004,15,1243.0,916.0,962.0,61.0,1669.0,657.0,21.2,39.3,0.9791
3,21,2004,16,1208.0,853.0,1060.0,89.0,1506.0,647.0,20.3,38.0,0.8942
3,21,2004,17,1306.0,938.0,961.0,105.0,1607.0,762.0,19.4,41.3,0.9206
3,21,2004,18,1546.0,1151.0,769.0,116.0,1874.0,1122.0,18.5,43.8,0.9252
3,21,2004,19,1501.0,1071.0,823.0,119.0,1744.0,1130.0,17.8,48.1,0.9689
3,21,2004,20,1605.0,1153.0,769.0,144.0,1840.0,1637.0,17.9,46.9,0.952
3,21,2004,21,1316.0,974.0,883.0,123.0,1673.0,1272.0,17.4,49.1,0.9688
3,21,2004,22,1195.0,898.0,933.0,105.0,1594.0,1098.0,17.0,51.7,0.9914
3,21,2004,23,1211.0,896.0,920.0,93.0,1624.0,1066.0,16.4,55.1,1.0198
3,22,2004,0,1161.0,815.0,995.0,86.0,1582.0,909.0,16.1,60.0,1.0919
3,22,2004,1,1095.0,767.0,1050.0,76.0,1547.0,818.0,15.8,60.5,1.0805
3,22,2004,2,897.0,563.0,1417.0,33.0,1355.0,472.0,16.3,57.0,1.0491
3,22,2004,4,854.0,481.0,1756.0,27.0,1304.0,396.0,16.1,55.9,1.0153
3,22,2004,5,845.0,472.0,1786.0,23.0,1278.0,378.0,16.5,53.9,1.0049
3,22,2004,6,942.0,586.0,1480.0,46.0,1373.0,432.0,16.4,54.0,0.9979
3,22,2004,7,1090.0,768.0,1072.0,76.0,1538.0,699.0,15.7,57.6,1.0195
3,22,2004,8,1514.0,1230.0,732.0,116.0,1996.0,1252.0,15.8,53.7,0.9571
3,22,2004,9,1379.0,1252.0,711.0,115.0,1962.0,1237.0,17.4,42.1,0.8281
3,22,2004,10,1074.0,854.0,1032.0,83.0,1484.0,772.0,17.9,38.4,0.7793
3,22,2004,11,1090.0,868.0,1026.0,87.0,1509.0,766.0,18.5,36.7,0.7764
3,22,2004,12,1110.0,964.0,947.0,90.0,1577.0,829.0,21.0,29.6,0.7263
3,22,2004,13,1102.0,994.0,955.0,87.0,1599.0,783.0,21.3,28.1,0.7067
3,22,2004,14,1100.0,1021.0,952.0,99.0,1607.0,822.0,21.3,26.1,0.6539
3,22,2004,15,1094.0,1003.0,965.0,99.0,1574.0,813.0,21.3,26.8,0.6681
3,22,2004,16,1076.0,1034.0,964.0,101.0,1544.0,813.0,21.3,24.2,0.606
3,22,2004,17,1152.0,1062.0,928.0,103.0,1606.0,850.0,20.2,28.5,0.6682
3,22,2004,18,1407.0,1249.0,720.0,129.0,1932.0,1276.0,17.0,43.1,0.8264
3,22,2004,19,1438.0,1325.0,678.0,143.0,1993.0,1401.0,15.6,47.4,0.8347
3,22,2004,20,1425.0,1325.0,678.0,146.0,1965.0,1356.0,15.3,47.4,0.8178
3,22,2004,21,1279.0,1131.0,775.0,124.0,1758.0,1243.0,14.5,49.7,0.8177
3,22,2004,22,1132.0,916.0,920.0,113.0,1561.0,1083.0,13.9,52.0,0.8231
